rounds	polymerase	subject	metric	value
25	PL	DA10016	invsimpson	16.735114
25	PL	DA10029	invsimpson	15.760695
25	PL	DA10040	invsimpson	21.344045
25	Q5	DA10001	invsimpson	18.973261
25	Q5	DA10016	invsimpson	17.090795
25	Q5	DA10029	invsimpson	15.757226
25	Q5	DA10040	invsimpson	21.998846
30	ACC	DA10001	invsimpson	22.364618
30	ACC	DA10016	invsimpson	17.570118
30	ACC	DA10029	invsimpson	14.957179
30	ACC	DA10040	invsimpson	23.341757
30	K	DA10001	invsimpson	18.67373
30	K	DA10016	invsimpson	18.628042
30	K	DA10029	invsimpson	17.094404
30	K	DA10040	invsimpson	24.767813
30	PHU	DA10001	invsimpson	30.438941
30	PHU	DA10016	invsimpson	21.155244
30	PHU	DA10029	invsimpson	16.883858
30	PHU	DA10040	invsimpson	27.607835
30	PL	DA10001	invsimpson	29.691339
30	PL	DA10016	invsimpson	21.57341
30	PL	DA10029	invsimpson	16.831142
30	PL	DA10040	invsimpson	24.545437
30	Q5	DA10001	invsimpson	27.51756
30	Q5	DA10016	invsimpson	19.347691
30	Q5	DA10029	invsimpson	16.535373
30	Q5	DA10040	invsimpson	22.361861
35	ACC	DA10001	invsimpson	23.367373
35	ACC	DA10016	invsimpson	19.025666
35	ACC	DA10029	invsimpson	15.881519
35	ACC	DA10040	invsimpson	23.607674
35	K	DA10001	invsimpson	18.348705
35	K	DA10016	invsimpson	18.408366
35	K	DA10029	invsimpson	17.05148
35	K	DA10040	invsimpson	22.726215
35	PHU	DA10001	invsimpson	24.326685
35	PHU	DA10016	invsimpson	19.152652
35	PHU	DA10029	invsimpson	17.014435
35	PHU	DA10040	invsimpson	23.128814
35	PL	DA10001	invsimpson	25.579953
35	PL	DA10016	invsimpson	19.146648
35	PL	DA10029	invsimpson	15.63737
35	PL	DA10040	invsimpson	23.947736
35	Q5	DA10001	invsimpson	34.223449
35	Q5	DA10016	invsimpson	22.218114
35	Q5	DA10029	invsimpson	16.070716
35	Q5	DA10040	invsimpson	29.791228
15	PHU	DA10029	shannon	1.996584
15	PHU	DA10040	shannon	2.014869
15	Q5	DA10016	shannon	3.34838
15	Q5	DA10040	shannon	3.472711
20	ACC	DA10040	shannon	3.539558
20	K	DA10001	shannon	3.461007
20	K	DA10040	shannon	3.584214
20	PHU	DA10001	shannon	3.383536
20	PHU	DA10016	shannon	3.32646
20	PHU	DA10029	shannon	3.168492
20	PHU	DA10040	shannon	3.477099
20	PL	DA10001	shannon	3.362464
20	PL	DA10016	shannon	3.283133
20	PL	DA10029	shannon	3.207919
20	PL	DA10040	shannon	3.528278
20	Q5	DA10001	shannon	3.354626
20	Q5	DA10016	shannon	3.305703
20	Q5	DA10029	shannon	3.139334
20	Q5	DA10040	shannon	3.479892
25	ACC	DA10001	shannon	3.424104
25	ACC	DA10016	shannon	3.239665
25	ACC	DA10029	shannon	3.230074
25	ACC	DA10040	shannon	3.605539
25	K	DA10001	shannon	3.494626
25	K	DA10016	shannon	3.442908
25	K	DA10029	shannon	3.230915
25	K	DA10040	shannon	3.702792
25	PHU	DA10001	shannon	3.477859
25	PHU	DA10016	shannon	3.279034
25	PHU	DA10029	shannon	3.163759
25	PHU	DA10040	shannon	3.588429
25	PL	DA10001	shannon	3.550103
25	PL	DA10016	shannon	3.364208
25	PL	DA10029	shannon	3.17422
25	PL	DA10040	shannon	3.637771
25	Q5	DA10001	shannon	3.545382
25	Q5	DA10016	shannon	3.401704
25	Q5	DA10029	shannon	3.20369
25	Q5	DA10040	shannon	3.682748
30	ACC	DA10001	shannon	3.635491
30	ACC	DA10016	shannon	3.386316
30	ACC	DA10029	shannon	3.191449
30	ACC	DA10040	shannon	3.709977
30	K	DA10001	shannon	3.552308
30	K	DA10016	shannon	3.422006
30	K	DA10029	shannon	3.241877
30	K	DA10040	shannon	3.720903
30	PHU	DA10001	shannon	3.811363
30	PHU	DA10016	shannon	3.529561
30	PHU	DA10029	shannon	3.32052
30	PHU	DA10040	shannon	3.857089
30	PL	DA10001	shannon	3.817526
30	PL	DA10016	shannon	3.529958
30	PL	DA10029	shannon	3.327873
30	PL	DA10040	shannon	3.754001
30	Q5	DA10001	shannon	3.760338
30	Q5	DA10016	shannon	3.461053
30	Q5	DA10029	shannon	3.264306
30	Q5	DA10040	shannon	3.687176
35	ACC	DA10001	shannon	3.658305
35	ACC	DA10016	shannon	3.457647
35	ACC	DA10029	shannon	3.234655
35	ACC	DA10040	shannon	3.707413
35	K	DA10001	shannon	3.53187
35	K	DA10016	shannon	3.407318
35	K	DA10029	shannon	3.236815
35	K	DA10040	shannon	3.665207
35	PHU	DA10001	shannon	3.706129
35	PHU	DA10016	shannon	3.473233
35	PHU	DA10029	shannon	3.294084
35	PHU	DA10040	shannon	3.713392
35	PL	DA10001	shannon	3.831903
35	PL	DA10016	shannon	3.491357
35	PL	DA10029	shannon	3.322541
35	PL	DA10040	shannon	3.793895
35	Q5	DA10001	shannon	3.879783
35	Q5	DA10016	shannon	3.565479
35	Q5	DA10029	shannon	3.327263
35	Q5	DA10040	shannon	3.912809
15	PHU	DA10029	sobs	11.256
15	PHU	DA10040	sobs	12.205
15	Q5	DA10016	sobs	72.459
15	Q5	DA10040	sobs	92.559
20	ACC	DA10040	sobs	93.271
20	K	DA10001	sobs	84.055
20	K	DA10040	sobs	96.319
20	PHU	DA10001	sobs	81.121
20	PHU	DA10016	sobs	76.159
20	PHU	DA10029	sobs	69.891
20	PHU	DA10040	sobs	93.78
20	PL	DA10001	sobs	85.134
20	PL	DA10016	sobs	76.001
20	PL	DA10029	sobs	72.996
20	PL	DA10040	sobs	96.227
20	Q5	DA10001	sobs	82.269
20	Q5	DA10016	sobs	74.616
20	Q5	DA10029	sobs	63.379
20	Q5	DA10040	sobs	92.212
25	ACC	DA10001	sobs	81.651
25	ACC	DA10016	sobs	73.926
25	ACC	DA10029	sobs	72.196
25	ACC	DA10040	sobs	99.128
25	K	DA10001	sobs	90.019
25	K	DA10016	sobs	82.391
25	K	DA10029	sobs	79.681
25	K	DA10040	sobs	103.631
25	PHU	DA10001	sobs	85.943
25	PHU	DA10016	sobs	74.808
25	PHU	DA10029	sobs	71.733
25	PHU	DA10040	sobs	99.076
25	PL	DA10001	sobs	90.109
25	PL	DA10016	sobs	80.158
25	PL	DA10029	sobs	71.047
25	PL	DA10040	sobs	99.837
25	Q5	DA10001	sobs	87.605
25	Q5	DA10016	sobs	79.318
25	Q5	DA10029	sobs	72.973
25	Q5	DA10040	sobs	105.228
30	ACC	DA10001	sobs	91.576
30	ACC	DA10016	sobs	79.522
30	ACC	DA10029	sobs	70.793
30	ACC	DA10040	sobs	107.721
30	K	DA10001	sobs	91.702
30	K	DA10016	sobs	88.455
30	K	DA10029	sobs	74.709
30	K	DA10040	sobs	104.596
30	PHU	DA10001	sobs	105.729
30	PHU	DA10016	sobs	91.079
30	PHU	DA10029	sobs	84.827
30	PHU	DA10040	sobs	123.202
30	PL	DA10001	sobs	100.357
30	PL	DA10016	sobs	87.381
30	PL	DA10029	sobs	86.106
30	PL	DA10040	sobs	113.719
30	Q5	DA10001	sobs	96.7
30	Q5	DA10016	sobs	84.897
30	Q5	DA10029	sobs	78.024
30	Q5	DA10040	sobs	109.955
35	ACC	DA10001	sobs	92.282
35	ACC	DA10016	sobs	84.291
35	ACC	DA10029	sobs	79.822
35	ACC	DA10040	sobs	107.942
35	K	DA10001	sobs	89.245
35	K	DA10016	sobs	81.525
35	K	DA10029	sobs	74.429
35	K	DA10040	sobs	101.292
35	PHU	DA10001	sobs	99.249
35	PHU	DA10016	sobs	87.338
35	PHU	DA10029	sobs	83.861
35	PHU	DA10040	sobs	113.413
35	PL	DA10001	sobs	131.159
35	PL	DA10016	sobs	101.708
35	PL	DA10029	sobs	95.418
35	PL	DA10040	sobs	134.462
35	Q5	DA10001	sobs	111.145
35	Q5	DA10016	sobs	97.938
35	Q5	DA10029	sobs	90.601
35	Q5	DA10040	sobs	129.343
