rounds	polymerase	subject	metric	value
15	PHU	DA10029	nseqs	1e3
15	PHU	DA10040	nseqs	1e3
15	Q5	DA10016	nseqs	1e3
15	Q5	DA10040	nseqs	1e3
20	ACC	DA10040	nseqs	1e3
20	K	DA10001	nseqs	1e3
20	K	DA10040	nseqs	1e3
20	PHU	DA10001	nseqs	1e3
20	PHU	DA10016	nseqs	1e3
20	PHU	DA10029	nseqs	1e3
20	PHU	DA10040	nseqs	1e3
20	PL	DA10001	nseqs	1e3
20	PL	DA10016	nseqs	1e3
20	PL	DA10029	nseqs	1e3
20	PL	DA10040	nseqs	1e3
20	Q5	DA10001	nseqs	1e3
20	Q5	DA10016	nseqs	1e3
20	Q5	DA10029	nseqs	1e3
20	Q5	DA10040	nseqs	1e3
25	ACC	DA10001	nseqs	1e3
25	ACC	DA10016	nseqs	1e3
25	ACC	DA10029	nseqs	1e3
25	ACC	DA10040	nseqs	1e3
25	K	DA10001	nseqs	1e3
25	K	DA10016	nseqs	1e3
25	K	DA10029	nseqs	1e3
25	K	DA10040	nseqs	1e3
25	PHU	DA10001	nseqs	1e3
25	PHU	DA10016	nseqs	1e3
25	PHU	DA10029	nseqs	1e3
25	PHU	DA10040	nseqs	1e3
25	PL	DA10001	nseqs	1e3
25	PL	DA10016	nseqs	1e3
25	PL	DA10029	nseqs	1e3
25	PL	DA10040	nseqs	1e3
25	Q5	DA10001	nseqs	1e3
25	Q5	DA10016	nseqs	1e3
25	Q5	DA10029	nseqs	1e3
25	Q5	DA10040	nseqs	1e3
30	ACC	DA10001	nseqs	1e3
30	ACC	DA10016	nseqs	1e3
30	ACC	DA10029	nseqs	1e3
30	ACC	DA10040	nseqs	1e3
30	K	DA10001	nseqs	1e3
30	K	DA10016	nseqs	1e3
30	K	DA10029	nseqs	1e3
30	K	DA10040	nseqs	1e3
30	PHU	DA10001	nseqs	1e3
30	PHU	DA10016	nseqs	1e3
30	PHU	DA10029	nseqs	1e3
30	PHU	DA10040	nseqs	1e3
30	PL	DA10001	nseqs	1e3
30	PL	DA10016	nseqs	1e3
30	PL	DA10029	nseqs	1e3
30	PL	DA10040	nseqs	1e3
30	Q5	DA10001	nseqs	1e3
30	Q5	DA10016	nseqs	1e3
30	Q5	DA10029	nseqs	1e3
30	Q5	DA10040	nseqs	1e3
35	ACC	DA10001	nseqs	1e3
35	ACC	DA10016	nseqs	1e3
35	ACC	DA10029	nseqs	1e3
35	ACC	DA10040	nseqs	1e3
35	K	DA10001	nseqs	1e3
35	K	DA10016	nseqs	1e3
35	K	DA10029	nseqs	1e3
35	K	DA10040	nseqs	1e3
35	PHU	DA10001	nseqs	1e3
35	PHU	DA10016	nseqs	1e3
35	PHU	DA10029	nseqs	1e3
35	PHU	DA10040	nseqs	1e3
35	PL	DA10001	nseqs	1e3
35	PL	DA10016	nseqs	1e3
35	PL	DA10029	nseqs	1e3
35	PL	DA10040	nseqs	1e3
35	Q5	DA10001	nseqs	1e3
35	Q5	DA10016	nseqs	1e3
35	Q5	DA10029	nseqs	1e3
35	Q5	DA10040	nseqs	1e3
15	PHU	DA10029	coverage	0.996919
15	PHU	DA10040	coverage	0.996421
15	Q5	DA10016	coverage	0.980858
15	Q5	DA10040	coverage	0.970175
20	ACC	DA10040	coverage	0.968347
20	K	DA10001	coverage	0.974654
20	K	DA10040	coverage	0.965456
20	PHU	DA10001	coverage	0.976317
20	PHU	DA10016	coverage	0.976648
20	PHU	DA10029	coverage	0.977941
20	PHU	DA10040	coverage	0.967017
20	PL	DA10001	coverage	0.974251
20	PL	DA10016	coverage	0.97523
20	PL	DA10029	coverage	0.975175
20	PL	DA10040	coverage	0.966803
20	Q5	DA10001	coverage	0.976948
20	Q5	DA10016	coverage	0.976268
20	Q5	DA10029	coverage	0.980497
20	Q5	DA10040	coverage	0.968121
25	ACC	DA10001	coverage	0.976024
25	ACC	DA10016	coverage	0.975854
25	ACC	DA10029	coverage	0.974594
25	ACC	DA10040	coverage	0.96523
25	K	DA10001	coverage	0.971626
25	K	DA10016	coverage	0.97401
25	K	DA10029	coverage	0.967838
25	K	DA10040	coverage	0.963119
25	PHU	DA10001	coverage	0.974305
25	PHU	DA10016	coverage	0.975144
25	PHU	DA10029	coverage	0.974663
25	PHU	DA10040	coverage	0.963925
25	PL	DA10001	coverage	0.972857
25	PL	DA10016	coverage	0.972451
25	PL	DA10029	coverage	0.975007
25	PL	DA10040	coverage	0.964148
25	Q5	DA10001	coverage	0.97337
25	Q5	DA10016	coverage	0.973699
25	Q5	DA10029	coverage	0.973369
25	Q5	DA10040	coverage	0.962191
30	ACC	DA10001	coverage	0.97023
30	ACC	DA10016	coverage	0.972094
30	ACC	DA10029	coverage	0.977244
30	ACC	DA10040	coverage	0.959766
30	K	DA10001	coverage	0.969499
30	K	DA10016	coverage	0.965576
30	K	DA10029	coverage	0.971044
30	K	DA10040	coverage	0.960217
30	PHU	DA10001	coverage	0.956693
30	PHU	DA10016	coverage	0.963521
30	PHU	DA10029	coverage	0.968274
30	PHU	DA10040	coverage	0.948778
30	PL	DA10001	coverage	0.964723
30	PL	DA10016	coverage	0.9672
30	PL	DA10029	coverage	0.967708
30	PL	DA10040	coverage	0.95443
30	Q5	DA10001	coverage	0.966904
30	Q5	DA10016	coverage	0.968924
30	Q5	DA10029	coverage	0.971154
30	Q5	DA10040	coverage	0.956535
35	ACC	DA10001	coverage	0.969414
35	ACC	DA10016	coverage	0.969499
35	ACC	DA10029	coverage	0.971677
35	ACC	DA10040	coverage	0.958866
35	K	DA10001	coverage	0.971591
35	K	DA10016	coverage	0.97255
35	K	DA10029	coverage	0.972577
35	K	DA10040	coverage	0.963331
35	PHU	DA10001	coverage	0.96502
35	PHU	DA10016	coverage	0.967187
35	PHU	DA10029	coverage	0.966187
35	PHU	DA10040	coverage	0.95251
35	PL	DA10001	coverage	0.933829
35	PL	DA10016	coverage	0.95064
35	PL	DA10029	coverage	0.957488
35	PL	DA10040	coverage	0.930744
35	Q5	DA10001	coverage	0.952492
35	Q5	DA10016	coverage	0.956404
35	Q5	DA10029	coverage	0.962781
35	Q5	DA10040	coverage	0.943263
15	PHU	DA10029	invsimpson	6.736377
15	PHU	DA10040	invsimpson	6.849475
15	Q5	DA10016	invsimpson	17.427291
15	Q5	DA10040	invsimpson	16.273407
20	ACC	DA10040	invsimpson	19.231542
20	K	DA10001	invsimpson	17.104049
20	K	DA10040	invsimpson	20.78452
20	PHU	DA10001	invsimpson	16.408080000000002
20	PHU	DA10016	invsimpson	16.260507
20	PHU	DA10029	invsimpson	15.605423
20	PHU	DA10040	invsimpson	16.872227
20	PL	DA10001	invsimpson	13.768073
20	PL	DA10016	invsimpson	15.268979
20	PL	DA10029	invsimpson	15.828471
20	PL	DA10040	invsimpson	17.835024
20	Q5	DA10001	invsimpson	14.300079
20	Q5	DA10016	invsimpson	15.941443
20	Q5	DA10029	invsimpson	15.176701
20	Q5	DA10040	invsimpson	17.194001
25	ACC	DA10001	invsimpson	17.560804
25	ACC	DA10016	invsimpson	14.144176
25	ACC	DA10029	invsimpson	16.906364
25	ACC	DA10040	invsimpson	20.51496
25	K	DA10001	invsimpson	16.940496
25	K	DA10016	invsimpson	18.408132
25	K	DA10029	invsimpson	16.681274
25	K	DA10040	invsimpson	23.847135
25	PHU	DA10001	invsimpson	18.229067
25	PHU	DA10016	invsimpson	14.722478
25	PHU	DA10029	invsimpson	14.951748
25	PHU	DA10040	invsimpson	19.791127
25	PL	DA10001	invsimpson	18.957937
